252897, 245406, _
252433, 41323, Tue Aug 12 13_51_12 2014
245482, 238374, _
245266, 33, Tue Aug 12 13_51_35 2014
310237, 301323, _
309478, 38, Tue Aug 12 13_56_24 2014
267780, 260073, _
267326, 32, Tue Aug 12 13_54_46 2014
70657, 67485, _
70548, 10, Tue Aug 12 13_42_00 2014
70657, 67485, _
70548, 10, Tue Aug 12 13_41_57 2014
252828, 245365, _
252299, 35, Tue Aug 12 13_52_38 2014
252442, 245026, _
252065, 27, Tue Aug 12 13_46_51 2014
255229, 247688, _
254935, 41291, Tue Aug 12 13_33_13 2014
87993, 84484, _
88040, 12, Tue Aug 12 13_42_39 2014
251712, 244205, _
251605, 32, Tue Aug 12 13_35_26 2014
250404, 242884, _
249979, 32, Tue Aug 12 13_53_03 2014
1064, 2, _
723, 2, Tue Aug 12 13_58_32 2014
300932, 292210, _
300725, 39, Tue Aug 12 13_38_46 2014
252923, 245509, _
252499, 41322, Tue Aug 12 13_51_50 2014
286941, 278941, _
286492, 34, Tue Aug 12 13_55_14 2014
267602, 259794, _
267317, 33, Tue Aug 12 13_46_12 2014
254461, 246844, _
253996, 37, Tue Aug 12 13_49_31 2014
240017, 232641, _
239675, 30, Tue Aug 12 13_36_00 2014
248683, 241226, _
248144, 16, Tue Aug 12 13_55_55 2014
261488, 253566, _
261011, 32, Tue Aug 12 13_48_16 2014
254729, 247271, _
254574, 32, Tue Aug 12 13_46_50 2014
248815, 241329, _
248467, 41293, Tue Aug 12 13_48_13 2014
11646, 10026, _
11808, 0, Tue Aug 12 13_45_06 2014
261488, 253566, _
261011, 32, Tue Aug 12 13_48_18 2014
297529, 289137, _
297108, 36, Tue Aug 12 13_58_02 2014
294385, 285905, _
294334, 30, Tue Aug 12 13_36_59 2014
240017, 232641, _
239675, 30, Tue Aug 12 13_35_57 2014
12126, 10439, _
12176, 3, Tue Aug 12 13_44_58 2014
237507, 230367, _
237177, 31, Tue Aug 12 13_52_56 2014
120933, 115941, _
121875, 18, Tue Aug 12 13_33_33 2014
309448, 300399, _
309167, 42, Tue Aug 12 13_37_21 2014
74043, 70981, _
74141, 0, Tue Aug 12 13_41_49 2014
248545, 241131, _
248238, 41299, Tue Aug 12 13_47_19 2014
116897, 112141, _
117893, 5, Tue Aug 12 13_33_23 2014
262460, 254819, _
262239, 41316, Tue Aug 12 13_48_47 2014
244616, 237265, _
244379, 30, Tue Aug 12 13_36_18 2014
251095, 243566, _
250437, 32, Tue Aug 12 13_53_16 2014
253775, 246230, _
253559, 24, Tue Aug 12 13_36_06 2014
211966, 197273, _
217968, 35, Tue Aug 12 14_01_17 2014
156621, 151419, _
156393, 20, Tue Aug 12 13_46_03 2014
315072, 305956, _
314928, 41327, Tue Aug 12 13_38_54 2014
177021, 171497, _
177024, 22, Tue Aug 12 13_41_34 2014
1039, 1, _
777, 2, Tue Aug 12 13_57_16 2014
246183, 238870, _
245831, 31, Tue Aug 12 13_48_26 2014
